task_id,digit,mnist_idx,is_black,nr,kappa,E_min,E_min_minus,E_max
0,0,1,0,4,2.0,-8.401282724386423,-8.005074904389529,8.005074904389529
1,0,21,0,4,2.0,-8.0672465815063,-8.055136511848792,8.055136511848792
10,0,81,0,4,2.0,-9.008296748316871,-9.255197019635645,9.255197019635645
100,6,93,0,4,2.0,-9.017734739949,-9.603540948361276,9.603540948361276
101,6,106,0,4,2.0,-8.874146396398267,-10.128203338831952,10.128203338831952
102,6,126,0,4,2.0,-9.152396528163385,-9.849571977764068,9.849571977764068
103,6,129,0,4,2.0,-9.419758931642077,-9.738194271682493,9.738194271682493
104,6,147,0,4,2.0,-9.687976556311469,-10.509866059706484,10.509866059706484
105,7,15,0,4,2.0,-9.364371411327623,-9.787035881884458,9.787035881884458
106,7,29,0,4,2.0,-9.745266523222146,-10.340072310498748,10.340072310498748
107,7,38,0,4,2.0,-9.47785292346075,-10.204299570111438,10.204299570111438
108,7,42,0,4,2.0,-9.786211512845156,-10.375762630535743,10.375762630535743
109,7,52,0,4,2.0,-9.448955275584604,-9.823075945001216,9.823075945001216
11,0,88,0,4,2.0,-8.760709218356366,-8.236832717777704,8.236832717777704
110,7,71,0,4,2.0,-9.23567540002215,-9.652181414374121,9.652181414374121
111,7,79,0,4,2.0,-9.641559415617154,-9.999827192411441,9.999827192411441
112,7,84,0,4,2.0,-8.995637829733033,-9.475604469809092,9.475604469809092
113,7,91,0,4,2.0,-8.807263750736643,-9.345249162150996,9.345249162150996
114,7,96,0,4,2.0,-8.96113710104608,-9.589607597934492,9.589607597934492
115,7,101,0,4,2.0,-8.247740274889638,-8.76179467567106,8.76179467567106
116,7,103,0,4,2.0,-9.036705694298332,-9.306929255647317,9.306929255647317
117,7,123,0,4,2.0,-8.720196541218666,-9.080949665654913,9.080949665654913
118,7,140,0,4,2.0,-9.490923916579705,-10.347615446329883,10.347615446329883
119,7,141,0,4,2.0,-9.631219127237461,-9.968396378345663,9.968396378345663
12,0,95,0,4,2.0,-8.59618867673855,-8.826797993147856,8.826797993147856
120,8,17,0,4,2.0,-8.954043816228966,-9.120268326117037,9.120268326117037
121,8,31,0,4,2.0,-8.208554805085344,-8.607664773107546,8.607664773107546
122,8,41,0,4,2.0,-9.19806789076216,-9.589236334340189,9.589236334340189
123,8,46,0,4,2.0,-9.796772979145144,-10.455480160098107,10.455480160098107
124,8,55,0,4,2.0,-9.212915510492493,-9.415283295055962,9.415283295055962
125,8,85,0,4,2.0,-8.960365672740348,-9.209229179374777,9.209229179374777
126,8,94,0,4,2.0,-10.038376190208899,-10.583500650553225,10.583500650553225
127,8,97,0,4,2.0,-9.237825051613523,-9.626316305826766,9.626316305826766
128,8,125,0,4,2.0,-9.417380757478687,-9.717390221313746,9.717390221313746
129,8,137,0,4,2.0,-8.8443159346814,-9.001425452873594,9.001425452873594
13,0,108,0,4,2.0,-8.649362567409074,-7.534571652813427,7.534571652813427
130,8,144,0,4,2.0,-8.987774009592613,-9.806067994561365,9.806067994561365
131,8,146,0,4,2.0,-8.302582328140401,-8.380956501137362,8.380956501137362
132,8,160,0,4,2.0,-9.489615871266146,-10.5592731955553,10.5592731955553
133,8,188,0,4,2.0,-8.974368636406295,-9.84936244847912,9.84936244847912
134,8,197,0,4,2.0,-8.449276889835705,-8.648353964331767,8.648353964331767
135,9,4,0,4,2.0,-10.308689740929008,-10.736615178763335,10.736615178763335
136,9,19,0,4,2.0,-9.992785741472273,-10.32058521392085,10.32058521392085
137,9,22,0,4,2.0,-9.165107842615104,-9.345272403080852,9.345272403080852
138,9,33,0,4,2.0,-9.369338063268163,-9.819640663241609,9.819640663241609
139,9,43,0,4,2.0,-9.227130391007867,-9.615102974603122,9.615102974603122
14,0,114,0,4,2.0,-8.340127566404915,-8.561766182243515,8.561766182243515
140,9,45,0,4,2.0,-9.766414026165284,-10.35300157562439,10.35300157562439
141,9,48,0,4,2.0,-9.376524755040109,-10.050023992655985,10.050023992655985
142,9,54,0,4,2.0,-8.772106060200445,-9.543520230849131,9.543520230849131
143,9,57,0,4,2.0,-10.41460150162717,-10.793723017200206,10.793723017200206
144,9,80,0,4,2.0,-8.616583278538153,-9.301545860894912,9.301545860894912
145,9,87,0,4,2.0,-10.257763673674571,-10.634402775787589,10.634402775787589
146,9,110,0,4,2.0,-10.028849814760186,-10.574551370955316,10.574551370955316
